name,recclass,mass (g),year,reclat,reclong
Dhofar 787,H4,382.5,2001,19.02922,54.54473
Dhofar 788,H4,274.38,2001,19.02948,54.54437
Dhofar 789,L6,430.54,2001,19.03792,54.53703
Dhofar 790,H6,20.45,2001,19.06632,54.52197
Dhofar 791,H6,146.52,2001,19.06943,54.52135
Dhofar 792,H5,519.02,2001,19.06843,54.53502
Dhofar 793,H6,151.13,2001,19.04183,54.55647
Dhofar 794,H6,431.81,2001,19.05162,54.46338
Dhofar 795,L6,32.18,2001,19.0487,54.5291
Dhofar 796,H4,246.38,2001,19.05907,54.53693
Dhofar 797,H6,132.19,2001,19.0604,54.53672
Dhofar 798,H6,18.43,2001,19.0605,54.53677
Dhofar 799,H4,56.11,2001,19.0704,54.53838
Dhofar 800,L4,55.88,2001,19.06252,54.55048
Dhofar 801,H6,119.15,2001,19.05568,54.55108
Dhofar 802,H6,199.43,2001,19.05233,54.54195
Dhofar 803,H6,22.43,2001,19.0586,54.53503
Dhofar 804,H6,44.4,2001,19.06155,54.53462
Dhofar 805,L6,237.94,2001,18.91925,54.26692
Dhofar 806,L5,117.24,2001,18.56528,54.0807
Dhofar 807,H5,1260,2001,18.50428,54.0859
Dhofar 809,L4,25.42,2001,18.5645,54.09627
Dhofar 810,H4,82.57,2001,18.56095,54.09983
Dhofar 811,H5,19.32,2001,18.5581,54.1039
Dhofar 812,L5,24.87,2001,18.5624,54.10895
Dhofar 813,L5,75.87,2001,18.5497,54.12023
Dhofar 814,H5,99.81,2001,18.9622,54.59012
Dhofar 815,H5,89.45,2001,18.9622,54.59012
Dhofar 816,H5,23.86,2001,18.97923,54.62818
Dhofar 817,H4,164.75,2001,19.01982,54.51398
Dhofar 818,H6,82.43,2001,19.02542,54.50633
Dhofar 819,H4,72.14,2001,19.04028,54.49387
Dhofar 820,H4,49.3,2001,19.04587,54.49452
Dhofar 821,H4,133.22,2001,19.0456,54.494
Dhofar 822,L5,39.3,2001,19.04892,54.49267
Dhofar 823,H4,23.33,2001,19.05025,54.49242
Dhofar 824,H6,12.05,2001,19.06013,54.53182
Dhofar 825,H6,50.44,2001,19.06027,54.54348
Dhofar 826,H6,63.98,2001,19.06045,54.54367
Dhofar 827,H6,134.99,2001,19.05877,54.54738
Dhofar 828,H5,225.86,2001,19.05978,54.56268
Dhofar 829,H6,19.68,2001,19.06003,54.5788
Dhofar 830,H5,15.68,2001,19.04493,54.47637
Dhofar 831,H4,22.29,2001,19.04797,54.48912
Dhofar 835,H5,160.09,2001,18.64482,54.00393
Dhofar 836,Ureilite,995,2000,18.34867,54.214
Dhofar 837,Ureilite,900.1,2000,18.30583,54.14967
Dhofar 838,H6,170,2002,19.32833,54.76333
Dhofar 839,H5,126,2002,18.52833,54.00333
Dhofar 840,H4,126,2002,19.34167,54.56
Dhofar 841,H6,100,2002,18.63,54.05
Dhofar 842,L5,136.75,2001,19.18833,54.79833
Dhofar 843,L6,147,2001,19.17667,54.67833
Dhofar 844,L6,182,2001,18.39167,54.16
Dhofar 845,H4,190,2001,18.40833,54.13
Dhofar 846,H6,156,2001,18.34333,54.09333
Dhofar 847,H6,130,2001,18.46167,54.01
Dhofar 848,L5,162,2001,18.20167,54.28
Dhofar 849,L6,146,2001,18.18167,54.09667
Dhofar 850,LL3,208,2002,18.61833,54.155
Dhofar 851,H5,62,2001,18.45833,54.57167
Dhofar 852,H4,122,2001,18.24333,54.135
Dhofar 853,L6,50,2001,18.98,54.54167
Dhofar 854,L6,142,2001,18.88,54.61667
Dhofar 855,LL4,196,2001,18.31167,54.145
Dhofar 856,L6,145,2001,18.395,54.27
Dhofar 857,H6,126,2001,18.395,54.13667
Dhofar 858,H3.9,88,2001,18.22167,54.1
Dhofar 859,H5,93.5,2001,19.17833,54.825
Dhofar 860,OC,394,2003,19.3,54.66833
Dhofar 861,H6,182,2001,19.03167,54.51167
Dhofar 862,H5,50,2002,19.16,54.58667
Dhofar 863,L5,102,2002,19.38333,54.59333
Dhofar 864,L6,1233,2002,18.16333,54.16
Dhofar 908,Lunar (anorth),245,2003,19.33167,54.78333
Dhofar 910,Lunar (anorth),142,,19.33173,54.7789
Dhofar 911,Lunar (anorth),194,,19.33167,54.77667
Dhofar 912,H4,19,2003,18.97833,54.40833
Dhofar 913,H4,88,2003,18.695,54.25
Dhofar 914,LL6,76,2003,18.91333,54.41667
Dhofar 916,H4,1350,2002,19.09667,54.79167
Dhofar 917,LL6,12,2003,19.30667,54.55167
Dhofar 918,LL5-6,134,2003,19.26,54.48833
Dhofar 919,H5,60,2003,18.66667,54.16
Dhofar 920,L6,26,2003,18.91833,54.40833
Dhofar 921,L6,144,2003,18.625,54.43
Dhofar 922,L6,2270,2003,19.405,54.57
Dhofar 923,H3.9,190,2002,19.335,54.66333
Dhofar 924,L6,185,2002,19.16333,54.66833
Dhofar 925,Lunar (basalt),49,2003,19.39667,54.56333
Dhofar 926,L5,411,2002,19.07333,54.74833
Dhofar 927,H5,795,2002,19.13667,54.56333
Dhofar 928,L5,178,2002,19.11333,54.75
Dhofar 929,L5,602,2002,18.51667,54.22833
Dhofar 930,Eucrite-pmict,18,2003,19.39,54.55833
Dhofar 931,L6,105,2002,19.105,54.81833
Dhofar 932,L4,64,2001,19.16667,54.87167
Dhofar 933,H4,48,2000,19.28833,54.695
Dhofar 934,H4,68,2000,18.925,54.59833
Dhofar 935,H5,1500,2002,19.105,54.81167
Dhofar 936,H4,62,2000,18.89333,54.73167
Dhofar 937,L5,67,2002,19.18167,54.57833
Dhofar 938,LL5,1248,2002,19.405,54.575
Dhofar 939,H5,508,2002,18.20833,54.12
Dhofar 941,L6,74,2002,18.58167,54.19667
Dhofar 942,L5,113,2002,19.16667,54.40333
Dhofar 943,L5,166,2002,19.05167,54.765
Dhofar 944,H5,86,2002,19.24333,54.53667
Dhofar 945,H5,74,2002,19.095,54.73167
Dhofar 946,LL5,2412,2002,19.165,54.40333
Dhofar 947,L5-6,170,2002,18.35333,54.235
Dhofar 948,L5,158,2002,19.39833,54.595
Dhofar 949,H5,38,2002,19.125,54.67833
Dhofar 950,Lunar (anorth),21.7,2003,19.325,54.78167
Dhofar 951,H6,274,2002,18.63167,54.23167
Dhofar 952,H6,68,2002,19.065,54.76167
Dhofar 953,H4,45,2002,19.135,54.565
Dhofar 954,H4,212,2002,18.535,54.13333
Dhofar 955,CM2,16,2003,19.055,54.75333
Dhofar 956,L4,114,2002,19.21667,54.65667
Dhofar 957,H4,550,2002,19.09167,54.38667
Dhofar 958,H5,400,2002,19.085,54.77
Dhofar 959,L6,702,2002,19.38667,54.57667
Dhofar 960,Lunar (anorth),35.4,2003,19.39667,54.55833
Dhofar 961,Lunar (anorth),21.6,2003,19.39833,54.56333
Dhofar 962,H4,63.5,2004,19.15547,54.5555
Dhofar 964,H4,1592,2004,19.126,54.85633
Dhofar 965,L6,247,2004,19.15314,54.96017
Dhofar 966,L5,868,2004,19.19217,54.9855
Dhofar 968,H4,79,2004,19.29667,54.9336
Dhofar 969,H5,737.4,2004,19.30022,54.85844
Dhofar 971,L4,108.3,2004,19.36947,54.83828
Dhofar 973,H4,423.5,2004,19.26831,54.84694
Dhofar 974,LL4,79,2004,19.23439,54.91681
Dhofar 975,L4,4230,2004,19.21939,54.91858
Dhofar 977,H3,1728,2004,19.22119,54.95961
Dhofar 978,L4,2467,2004,19.22878,54.93953
Dhofar 979,Ureilite,1063,2004,19.75667,54.93667
Dhofar 983,H6,82.6,2004,19.17117,54.906
Dhofar 984,H4,33,2004,19.19733,54.91717
Dhofar 985,LL6,153.9,2004,19.22478,54.92317
Dhofar 987,H4,69.3,2004,19.23139,54.92333
Dhofar 989,H6,608.5,2004,19.23439,54.91681
Dhofar 990,H4,165.3,2004,19.25317,54.83617
Dhofar 991,LL6,12,2004,19.258,54.83567
Dhofar 992,L6,213.9,2004,19.31783,54.7295
Dhofar 993,H3.8,114.5,2004,19.22483,54.89417
Dhofar 995,H5,243.2,2003,19.1402,54.68142
Dhofar 996,LL5,2717,2003,19.16365,54.66127
Dhofar 999,H5,20.89,2001,18.26817,54.15067
Diablo Pass,L6,246.6,2004,33.66348,-114.29207
Diamond Valley,H5,440,2001,40.08173,-115.93673
Digor,"Iron, IIIAB",3800,2006,42.33333,89.33333
Dimboola,H5,16000,1944,-36.5,142.03333
Dimitrovgrad,"Iron, IIIAB",100000,1949,43.04639,22.86389
Dimmitt,H3.7,200000,1942,34.58333,-102.16667
Dimmitt (b),OC,2800,1981,34.48333,-102.32833
Dingo Pup Donga,Ureilite,122.7,1965,-30.43333,126.1
Dispatch,H,220,1956,39.5,-98.53333
Divnoe,Achondrite-ung,12700,1981,45.7,43.7
Dix,L6,44000,1927,41.23333,-103.48333
Djebel Chaab 001,L/LL6,1388,2003,25.22367,0.8456
Djebel Chaab 002,LL6,30616,2003,25.15592,0.82213
Djebel Chaab 003,L6,4570.2,2003,25.08683,0.8324
Djebel In-Azzene,"Iron, IIIAB",12500,1990,27.86667,0.45
Dolores,"Iron, IIIAB",4333,2001,-19.65,-69.95
Dominion Range 85500,H5,59.8,1985,-85.33333,166.5
Dominion Range 85501,H5,126.2,1985,-85.33333,166.5
Dominion Range 85502,L6,302.2,1985,-85.33333,166.5
Dominion Range 85503,L6,719.7,1985,-85.33333,166.5
Dominion Range 85504,L4,120.6,1985,-85.33333,166.5
Dominion Range 85505,LL5,31.4,1985,-85.33333,166.5
Dominion Range 85506,LL5,58.8,1985,-85.33333,166.5
Dominion Range 85507,H5,189.9,1985,-85.33333,166.5
Dominion Range 85508,H6,14,1985,-85.33333,166.5
Dominion Range 85509,L6,76.1,1985,-85.33333,166.5
Dominion Range 85510,L6,31.7,1985,-85.33333,166.5
Donnybrook,Mesosiderite?,414,1918,-33.61667,115.91667
Doolgunna,L,20,1967,-25.93333,119.3
Dor el Gani,"Iron, IIIAB",2575,1972,26.95833,16.03333
Dora (pallasite),"Pallasite, PMG",7600,1955,33.92667,-103.955
Dora (stone),OC,1570,1970,33.92333,-103.35
D'Orbigny,Angrite,16550,1979,-37.66667,-61.65
Dorofeevka,"Iron, IIF",12600,1910,53.33333,70.06667
Dorrigo,"Iron, ungrouped",8500,1948,-30.28333,152.66667
Dos Cabezas,L5,755,1998,32.295,-109.67
Dougherty,L6,1113,2002,33.97917,-101.2
Doyleville,H5,112,1887,38.41667,-106.58333
Drayton,H4/5,2350,1982,48.66667,-97.11667
Dresden (Kansas),H5,6760,1953,39.61667,-100.46306
Dronino,"Iron, ungrouped",40000,2000,54.74667,41.42167
Drum Mountains,"Iron, IIIAB",529000,1944,39.5,-112.9
Duchesne,"Iron, IVA",22700,1906,40.38333,-110.86667
Duel Hill (1854),"Iron, IVA",21800,1854,35.85,-82.7
Duel Hill (1873),"Iron, IAB-MG",11300,1873,35.85,-82.7
Duketon,"Iron, IIIAB",118300,1948,-27.5,122.36667
Dumas (a),H5,46050,1956,35.9,-101.9
Dumas (b),H6,2284,1980,35.925,-101.895
Dumont,"Iron, IVB",27420,1994,33.81667,-100.51667
Duncanville,H,17800,1961,32.63333,-96.86667
Dungannon,"Iron, IAB-MG",13000,1922,36.85,-82.45
Dunganville,"Iron, IIIAB",54000,1976,-42.55,171.35
Dutch Flat,"Iron, IIAB",48.8,2002,34.48333,-113.91667
Dwight,L6,4100,1940,38.85,-96.58333
Eads,H4,4860,1975,38.47,-102.82667
Eagle Station,"Pallasite, PES",36000,1880,38.61667,-84.96667
Edjudina,H4,4480,1969,-29.58639,122.18167
Edmond,H6,4000,1983,39.76667,-99.91667
Edmonson (a),L6,12000,1955,34.28333,-101.83333
Edmonson (b),H4,14402,1981,34.28333,-101.83333
Edmonton (Canada),"Iron, IIAB",7340,1939,53.66667,-113.41667
Edmonton (Kentucky),"Iron, IAB-sLM",10200,1942,37.03333,-85.63333
Efremovka,CV3,21000,1962,52.5,77
Egvekinot,"Iron, IAB-sLM",10000,1970,66.8,178.2
El Atchane 001,H3,88,1991,29.685,4.03194
El Atchane 002,H6,164,1991,29.69889,4.05889
El Atchane 003,L6,9000,1991,29.75944,4.20861
El Atchane 004,H4/5,133,1991,29.76306,4.23528
El Atchane 005,H5,132,1991,29.53722,4.22639
El Atchane 006,H5/6,43,1991,29.73972,4.22139
El Atchane 007,L6,538,1991,29.71,4.19028
El Atchane 008,H4,1397,1991,30.06222,4.55722
El Atchane 009,H5,91,1991,30.13028,4.48306
El Atchane 010,L3,30.5,2002,29.81835,4.38228
El Atchane 011,H5,2886.4,2002,30.01965,4.55562
El Atchane 012,EL6,331.2,2002,29.1266,4.71773
El Atchane 013,H5,720,2002,29.975,4.66667
El Atchane 014,L~5,13,1997,29.16667,3.73333
El Atchane 015,H~4,717,1997,28.9,4.51667
El Atchane 016,H5,156,1998,29.36667,4.75
El Atchane 017,H~4/5,148,1997,29.53333,4.31667
El Bahrain,L6,14000,1983,28.6,26.4
El Blida 001,H5,301.2,1998,29.91667,-5.41667
El Blida 002,H6,286,1998,29.91667,-5.41667
El Burro,"Iron, IIAB",35900,1939,29.33333,-101.83333
El Capitan,"Iron, IIIAB",27500,1893,33.5,-105.5
El Carmen,H6,629,1987,26.86667,-105.23333
El Djouf 001,CR2,1250,1989,23.43333,-1.41667
El Djouf 002,H5,1389,1989,23.45,-1.86667
El Djouf 003,L6,2027,1989,23.5,-1.85
El Djouf 004,H6,360,1989,23.55,-1.81667
El Djouf 006,L6,1072,1989,23.66667,-1.58333
El Djouf 007,H5,4500,1989,23.66667,-1.81667
El Faiyum,H5,73.5,1993,29.28333,30.85
El Golea,L6,823,1990,30.01667,2.98333
El Gouanem,Ureilite,2100,2000,30.1,-6.85
El Hammami,H5,240000,1997,23.28333,-10.81667
El Médano 001,H6,10,2010,-24.85,-70.53333
El Médano 002,L6,12,2010,-24.85,-70.53333
El Médano 003,H5,11,2010,-24.85,-70.53333
El Médano 004,H4,151,2010,-24.85,-70.53333
El Médano 005,L6,582,2010,-24.85,-70.53333
El Médano 006,LL6,55,2010,-24.85,-70.53333
El Médano 007,LL6,31,2010,-24.85,-70.53333
El Médano 008,L6,33,2010,-24.85,-70.53333
El Médano 009,L6,65,2010,-24.85,-70.53333
El Médano 011,H6,87,2010,-24.85,-70.53333
El Médano 012,H6,54,2010,-24.85,-70.53333
El Médano 014,H4,54,2010,-24.85,-70.53333
El Médano 015,H4,98,2010,-24.85,-70.53333
El Médano 016,L6,57,2010,-24.85,-70.53333
El Médano 017,L6,156,2010,-24.85,-70.53333
El Médano 018,H4,15,2010,-24.85,-70.53333
El Médano 019,H3,11,2010,-24.85,-70.53333
El Médano 020,L6,102,2010,-24.85,-70.53333
El Médano 021,H6,50,2010,-24.85,-70.53333
El Médano 022,H6,47,2010,-24.85,-70.53333
El Médano 023,L6,115,2010,-24.85,-70.53333
El Médano 025,H6,132,2010,-24.85,-70.53333
El Médano 026,L6,154,2010,-24.85,-70.53333
El Médano 027,H5,46,2010,-24.85,-70.53333
El Médano 028,L5,141,2010,-24.85,-70.53333
El Médano 029,L5,392,2010,-24.85,-70.53333
El Médano 030,H6,32,2010,-24.85,-70.53333
El Médano 031,H5,35,2010,-24.85,-70.53333
El Médano 032,H6,28,2010,-24.85,-70.53333
El Médano 033,H5,45,2010,-24.85,-70.53333
El Médano 034,H6,10,2010,-24.85,-70.53333
El Médano 035,H5,72,2010,-24.85,-70.53333
El Médano 036,H5,54,2010,-24.85,-70.53333
El Médano 037,L6,111,2010,-24.85,-70.53333
El Médano 042,L6,22.6,2011,-24.85,-70.53333
El Médano 043,H4,24.8,2011,-24.85,-70.53333
El Médano 044,L6,44.4,2011,-24.85,-70.53333
El Médano 045,H5,319,2011,-24.85,-70.53333
El Médano 046,H4,40.1,2011,-24.85,-70.53333
El Médano 047,H4,57.9,2011,-24.85,-70.53333
El Médano 048,H5,118,2011,-24.85,-70.53333
El Médano 049,H4,138,2011,-24.85,-70.53333
El Médano 050,H5,52,2011,-24.85,-70.53333
El Médano 051,L6,28.9,2011,-24.85,-70.53333
El Médano 052,H5,66.5,2011,-24.85,-70.53333
El Médano 053,H4/5,17.9,2011,-24.85,-70.53333
El Médano 054,H5,46.5,2011,-24.85,-70.53333
El Médano 055,H6,34.3,2011,-24.85,-70.53333
El Médano 056,CK5,180,2011,-24.85,-70.53333
El Médano 057,H6,10.8,2010,-24.85,-70.53333
El Médano 058,H6,11.8,2010,-24.85,-70.53333
El Médano 059,H4,27,2011,-24.85,-70.53333
El Médano 060,H3,29,2011,-24.85,-70.53333
El Médano 061,H5,57,2011,-24.85,-70.53333
El Médano 062,L6,22,2011,-24.85,-70.53333
El Médano 063,H4,23,2011,-24.85,-70.53333
El Médano 064,H4,22,2011,-24.85,-70.53333
El Médano 065,H5,11.5,2011,-24.85,-70.53333
El Médano 066,H5,15.8,2011,-24.85,-70.53333
El Médano 067,L6,20.4,2011,-24.85,-70.53333
El Médano 068,H4,125,2011,-24.85,-70.53333
El Médano 069,H6,65,2011,-24.85,-70.53333
El Médano 070,L6,51,2011,-24.85,-70.53333
El Médano 071,H5,163,2011,-24.85,-70.53333
El Médano 072,H4,19.9,2011,-24.85,-70.53333
El Médano 073,LL6,67,2011,-24.85,-70.53333
El Médano 074,H4,42.4,2011,-24.85,-70.53333
El Médano 075,L4,186,2011,-24.85,-70.53333
El Médano 076,H5,14.1,2011,-24.85,-70.53333
El Médano 077,L4,72,2011,-24.85,-70.53333
El Médano 078,L6,1228,2011,-24.85,-70.53333
El Médano 079,H5,230,2011,-24.85,-70.53333
El Médano 080,L6,24.5,2011,-24.85,-70.53333
El Médano 081,H4,13.4,2011,-24.85,-70.53333
El Médano 082,H5,22.5,2011,-24.85,-70.53333
El Médano 083,H5,12.6,2011,-24.85,-70.53333
El Médano 084,H5,45,2011,-24.85,-70.53333
El Médano 085,H4,12.9,2011,-24.85,-70.53333
El Médano 086,H4,1258,2011,-24.85,-70.53333
El Médano 087,H4,13.9,2011,-24.85,-70.53333
El Médano 088,L6,10.1,2011,-24.85,-70.53333
El Médano 089,L6,296,2011,-24.85,-70.53333
El Médano 090,L6,18.8,2011,-24.85,-70.53333
El Médano 091,H5,17.8,2011,-24.85,-70.53333
El Médano 092,H6,289,2011,-24.85,-70.53333
El Médano 093,H4-6,51.8,2011,-24.85,-70.53333
El Médano 094,L6,35.3,2011,-24.85,-70.53333
El Médano 095,LL6,72,2011,-24.85,-70.53333
El Médano 096,Acapulcoite,11.1,2011,-24.85,-70.53333
El Médano 097,L5-6,229,2011,-24.85,-70.53333
El Médano 098,L6,135,2011,-24.85,-70.53333
El Médano 099,H5,10.5,2011,-24.85,-70.53333
El Médano 101,L6,19.1,2011,-24.85,-70.53333
El Médano 102,H4/5,65,2011,-24.85,-70.53333
El Médano 103,LL6,61,2011,-24.85,-70.53333
El Médano 104,LL5,27,2011,-24.85,-70.53333
El Médano 105,H5/6,16.7,2011,-24.85,-70.53333
El Médano 106,H5/6,91,2011,-24.85,-70.53333
El Médano 107,H5/6,10.3,2011,-24.85,-70.53333
El Médano 108,H4,15.5,2011,-24.85,-70.53333
El Médano 109,H3,13.1,2011,-24.85,-70.53333
El Médano 110,LL6,28.8,2011,-24.85,-70.53333
El Médano 111,H5,139,2011,-24.85,-70.53333
El Médano 112,H5,23,2011,-24.85,-70.53333
El Médano 113,L6,37,2011,-24.85,-70.53333
El Médano 114,H5,24.4,2011,-24.85,-70.53333
El Médano 115,H5,84,2011,-24.85,-70.53333
El Médano 116,H6,46,2011,-24.85,-70.53333
El Médano 117,L6,52,2011,-24.85,-70.53333
El Médano 118,H5,161,2011,-24.85,-70.53333
El Médano 119,H5,23.3,2010,-24.85,-70.53333
El Médano 120,H5,24.2,2011,-24.85,-70.53333
El Médano 121,H5,333,2011,-24.85,-70.53333
El Médano 122,L5/6,55,2011,-24.85,-70.53333
El Médano 123,H5,22.1,2011,-24.85,-70.53333
El Médano 124,H5,39,2011,-24.85,-70.53333
El Médano 125,L6,93,2011,-24.85,-70.53333
El Médano 126,H5,584,2011,-24.85,-70.53333
El Médano 127,H5,130,2011,-24.85,-70.53333
El Médano 128,L6,556,2011,-24.85,-70.53333
El Médano 129,L6,27.8,2011,-24.85,-70.53333
El Médano 130,L6,43.6,2011,-24.85,-70.53333
El Médano 131,H4,106,2011,-24.85,-70.53333
El Médano 132,H4,670,2011,-24.85,-70.53333
El Médano 133,LL6,397,2011,-24.85,-70.53333
El Médano 134,H5,20.5,2011,-24.85,-70.53333
El Médano 135,L6,71,2011,-24.85,-70.53333
El Médano 136,L5,57,2011,-24.85,-70.53333
El Médano 137,H5,37,2011,-24.85,-70.53333
El Médano 138,L6,17.9,2011,-24.85,-70.53333
El Médano 139,H5,11.3,2011,-24.85,-70.53333
El Médano 140,H4/5,11.5,2011,-24.85,-70.53333
El Médano 141,L6,752,2011,-24.85,-70.53333
El Médano 142,L6,20.5,2011,-24.85,-70.53333
El Médano 143,H4,59,2011,-24.85,-70.53333
El Médano 144,L4,87,2011,-24.85,-70.53333
El Médano 145,H5,20.4,2011,-24.85,-70.53333
El Médano 146,H4,10.9,2011,-24.85,-70.53333
El Médano 147,L6,19.9,2011,-24.85,-70.53333
El Médano 148,H5,298,2011,-24.85,-70.53333
El Médano 149,H5,99,2011,-24.85,-70.53333
El Médano 150,L6,56,2011,-24.85,-70.53333
El Médano 151,H4,12.6,2011,-24.85,-70.53333
El Médano 152,H4,45,2011,-24.85,-70.53333
El Médano 153,H3,6038,2010,-24.85,-70.53333
El Médano 154,L6,1047,2011,-24.85,-70.53333
El Médano 155,H6,517,2011,-24.85,-70.53333
El Médano 156,L6,161,2011,-24.85,-70.53333
El Médano 157,H4,620,2011,-24.85,-70.53333
El Médano 158,H4,38,2011,-24.85,-70.53333
El Médano 159,L6,12.3,2011,-24.85,-70.53333
El Médano 160,H6,88,2011,-24.85,-70.53333
El Médano 161,H5,91,2011,-24.85,-70.53333
El Médano 162,L4,147,2011,-24.85,-70.53333
El Médano 163,L6,20.4,2011,-24.85,-70.53333
El Médano 164,H5,282,2011,-24.85,-70.53333
El Médano 165,L6,53,2011,-24.85,-70.53333
El Médano 166,L5,42,2011,-24.85,-70.53333
El Médano 167,H4,163,2011,-24.85,-70.53333
El Médano 169,L6,228,2011,-24.85,-70.53333
El Médano 170,L4,3893,2011,-24.85,-70.53333
El Médano 171,H~5,1821,2011,-24.85,-70.53333
El Médano 172,H~5,1097,2011,-24.85,-70.53333
El Médano 173,L~6,448,2011,-24.85,-70.53333
El Médano 174,L~6,434,2011,-24.85,-70.53333
El Médano 175,L~6,147,2011,-24.85,-70.53333
El Médano 176,L6,64,2011,-24.85,-70.53333
El Médano 177,H~5,1198,2011,-24.85,-70.53333
El Médano 178,H~5,5758,2011,-24.85,-70.53333
El Mirage,"Iron, IIAB",598,1972,33.68333,-112.26667
El Mirage Dry Lake 002,H4,13,2001,34.64667,-117.58108
El Mirage Dry Lake 004,LL6,271,2011,34.65783,-117.59892
El Paso,LL4,276,1950,31.78333,-106.23333
El Perdido,H5,30250,1905,-38.68333,-61.1
El Pozo,L5,460,1998,26.93333,-105.4
El Qoseir,"Iron, ungrouped",2405,1921,26.28333,34.25
El Rancho Grande,Pallasite,40.7,1954,37,-105
El Sampal,"Iron, IIIAB",142000,1973,-44.53333,-70.36667
El Simbolar,Iron,40000,1938,-30.63333,-64.88333
El Timbu,Iron,500000,1942,-33.11667,-60.96667
Elba,H5,4175,1966,39.83333,-103.21667
Eldee 001,L6,4514,2006,-31.66997,141.24233
Eldee 002,L6-melt breccia,101,2006,-31.66417,141.23375
Elephant Moraine 82600,Eucrite-pmict,247.1,1982,-76.2925,157.24028
Elephant Moraine 82601,L3.5-3.7,149.5,1982,-76.30167,157.26528
Elephant Moraine 82602,H4,1824.1,1982,-76.29139,157.20833
Elephant Moraine 82603,H5,8210,1982,-76.29861,157.33083
Elephant Moraine 82604,H5,1570.6,1982,-76.18333,157.16667
Elephant Moraine 82605,L6,624.6,1982,-76.29139,157.20917
Elephant Moraine 82606,L6,981.9,1982,-76.29139,157.20861
Elephant Moraine 82607,L6,165.3,1982,-76.29417,157.3225
Elephant Moraine 82608,LL6,94.5,1982,-76.18333,157.16667
Elephant Moraine 82609,H4,325.5,1982,-76.18333,157.16667
Elephant Moraine 82610,H6,42.1,1982,-76.18333,157.16667
Elephant Moraine 82611,L4,12.6,1982,-76.31944,157.28139
Elephant Moraine 82612,L6,31.6,1982,-76.18333,157.16667
Elephant Moraine 82615,H6,29.3,1982,-76.18333,157.16667
Elephant Moraine 83200,H5,778.8,1983,-76.30111,157.18333
Elephant Moraine 83201,H6,1059.8,1983,-76.295,157.28833
Elephant Moraine 83202,L5-6,1213.2,1983,-76.29944,157.21694
Elephant Moraine 83203,H5,545.6,1983,-76.32861,157.23
Elephant Moraine 83204,LL6,376.6,1983,-76.29306,157.18
Elephant Moraine 83205,L6,470.8,1983,-76.32833,157.22917
Elephant Moraine 83206,L6,461.9,1983,-76.28361,157.185
Elephant Moraine 83207,H4,1238.3,1983,-76.26889,157.1725
Elephant Moraine 83208,H5,263,1983,-76.2725,157.19722
Elephant Moraine 83209,L6,520,1983,-76.32611,157.17806
Elephant Moraine 83210,L6,425.6,1983,-76.28111,157.23222
Elephant Moraine 83211,H4,542.7,1983,-76.26861,157.16111
Elephant Moraine 83212,Eucrite-pmict,402.1,1983,-76.2875,157.23861
Elephant Moraine 83213,LL3.7,2727,1983,-76.28278,157.23195
Elephant Moraine 83214,L6,1397.5,1983,-76.28611,157.24472
Elephant Moraine 83215,H6,510.4,1983,-76.30361,157.23389
Elephant Moraine 83216,L6,789.9,1983,-76.31944,157.19139
Elephant Moraine 83217,L6,374.7,1983,-76.32028,157.26194
Elephant Moraine 83218,L6,191.9,1983,-76.28195,157.24028
Elephant Moraine 83219,L6,243.3,1983,-76.27528,157.18417
Elephant Moraine 83220,L6,330.9,1983,-76.28389,157.20056
Elephant Moraine 83221,H4-6,313.9,1983,-76.325,157.17834
Elephant Moraine 83222,L6,317,1983,-76.30111,157.26917
Elephant Moraine 83223,H5,218.6,1983,-76.29333,157.27389
Elephant Moraine 83225,Ureilite,44,1983,-76.29222,157.26417
Elephant Moraine 83226,C2-ung,33.1,1983,-76.28278,157.22917
Elephant Moraine 83227,Eucrite-pmict,1973,1983,-76.3,157.27306
Elephant Moraine 83228,Eucrite-pmict,1206,1983,-76.28528,157.23889
Elephant Moraine 83229,Eucrite-pmict,312.9,1983,-76.28361,157.23639
Elephant Moraine 83230,"Iron, ungrouped",530,1983,-76.30083,157.25139
Elephant Moraine 83231,Eucrite-pmict,66.4,1983,-76.29556,157.23833
Elephant Moraine 83232,Eucrite-pmict,211.2,1983,-76.28861,157.23194
Elephant Moraine 83234,Eucrite-pmict,180.6,1983,-76.28333,157.24083
Elephant Moraine 83235,Eucrite-pmict,254.6,1983,-76.28528,157.24028
Elephant Moraine 83237,L6,882.7,1983,-76.2975,157.23389
Elephant Moraine 83238,L6,382.1,1983,-76.27333,157.19917
Elephant Moraine 83239,L6,282.3,1983,-76.27583,157.19555
Elephant Moraine 83240,L5,247.8,1983,-76.31944,157.25444
Elephant Moraine 83241,L6,203.3,1983,-76.27111,157.15972
Elephant Moraine 83242,L5,282.1,1983,-76.29722,157.23333
Elephant Moraine 83243,L6,288.1,1983,-76.28778,157.20444
Elephant Moraine 83244,L6,384.1,1983,-76.28139,157.27389
Elephant Moraine 83245,"Iron, IIAB-an",59,1983,-76.28444,157.25111
Elephant Moraine 83246,Diogenite,48.3,1983,-76.31944,157.25667
Elephant Moraine 83247,Diogenite,22.5,1983,-76.30056,157.2925
Elephant Moraine 83248,H3.5,39.2,1983,-76.3225,157.18472
Elephant Moraine 83250,CM2,11.5,1983,-76.30361,157.17611
